Time,Sample,q_0,q_1,q_inf,Cohort
1,m1,12,1.0644065249289953,1.0087763542822556,colonized
2,m1,14,1.0512928129444172,1.006812766385878,colonized
3,m1,12,1.0353578862398984,1.004340984923726,colonized
4,m1,11,1.0245380765909184,1.0027655321595794,colonized
5,m1,9,1.0139913139034211,1.0015298440040956,colonized
6,m1,7,1.0125575779522564,1.0015245429153266,colonized
7,m1,5,1.0077083835380578,1.000856288157646,colonized
8,m1,4,1.0240105523175855,1.0033109260559847,colonized
9,m1,3,1.420707169628543,1.1261261261261262,colonized
10,m1,3,1.9316654433843625,1.5822995192022318,colonized
11,m1,3,1.9992601914905377,1.8204988166757692,colonized
12,m1,4,2.0187962089653912,1.9853810816984339,colonized
13,m1,5,2.0347744140557573,1.8744915379265286,colonized
17,m1,7,2.32299568510291,2.0320614134116055,colonized
19,m1,8,2.2141093289105966,1.8341145302628896,colonized
1,m2,3,1.0121475061198324,1.0014753203303788,colonized
2,m2,4,1.0120782805310036,1.0014353907267082,colonized
3,m2,3,1.0085803714431714,1.001001001001001,colonized
4,m2,5,1.0063665426179396,1.0006559855905537,colonized
5,m2,3,1.0035870758349636,1.000389040182293,colonized
6,m2,3,1.003046828149197,1.0003223260828489,colonized
7,m2,2,1.0015206886063976,1.000155579756851,colonized
8,m2,2,1.0107289168998637,1.001413105159503,colonized
9,m2,2,1.6565394720031825,1.2549325822329433,colonized
10,m2,3,1.9630478880018722,1.6761961521986108,colonized
11,m2,4,2.010631228048074,1.7595307917888563,colonized
12,m2,3,2.07250367804477,1.9114367633004141,colonized
13,m2,4,2.061164230512755,1.813236627379873,colonized
17,m2,6,2.125565733853986,1.6814150738225841,colonized
19,m2,6,2.242578215913748,1.8608883882225609,colonized
1,m3,3,1.0128785847098425,1.0016583009649307,colonized
2,m3,3,1.002725188220341,1.0002889723697956,colonized
3,m3,3,1.0034109823800832,1.0003779205477625,colonized
4,m3,3,1.0024906692053164,1.0002556208808917,colonized
5,m3,3,1.0042090806519628,1.0004557631810047,colonized
6,m3,3,1.0023545765600506,1.0002445042121408,colonized
7,m3,3,1.003487926967427,1.0002667377967458,colonized
8,m3,3,1.0082496814717739,1.00080064051241,colonized
9,m3,3,1.849319404445799,1.433166661358642,colonized
10,m3,4,2.0603204411890395,1.869997701293545,colonized
11,m3,4,2.1257182699909274,1.8992149911369969,colonized
12,m3,5,2.2238693027915066,2.0090424562682214,colonized
13,m3,5,2.3195772779294916,1.9742470441134534,colonized
17,m3,5,2.5362254185174953,1.9376084692814997,colonized
19,m3,5,2.566534217081923,2.132347714834032,colonized
1,m4,3,1.0098394479952117,1.0012237178774057,colonized
2,m4,3,1.004801628289322,1.0005447410256696,colonized
3,m4,2,1.0029171703705808,1.0003223260828489,colonized
4,m4,2,1.001905231288099,1.0002000400080016,colonized
5,m4,2,1.0030069643636557,1.000478006158498,colonized
6,m4,2,1.001810323425404,1.0003223260828489,colonized
7,m4,5,1.037002375087936,1.0050924685071025,colonized
8,m4,2,1.5351937028162077,1.1812728871621887,colonized
9,m4,3,1.9378756754538753,1.5905497182255435,colonized
10,m4,2,1.9759773671055731,1.731381511545433,colonized
11,m4,4,2.0113749770192886,1.9349013200326786,colonized
12,m4,5,2.1047242910769453,1.827856533571632,colonized
13,m4,5,2.479016238051223,1.8346606167237707,colonized
17,m4,5,2.543838424207,1.879659990392849,colonized
