Time,Family,Abundance,Abundance.family,Sample
1,A4b,94,0.0015666666666666667,c_m1
1,Actinomycetaceae,0,0,c_m1
1,Aerococcaceae,0,0,c_m1
1,Aeromonadaceae,13,2.1666666666666666e-4,c_m1
1,Alcaligenaceae,2,3.3333333333333335e-5,c_m1
1,Anaerococcus,0,0,c_m1
1,Anaerolineaceae,0,0,c_m1
1,Bacillaceae,8819,0.14698333333333333,c_m1
1,Bacteroidetes BD2-2,0,0,c_m1
1,Bdellovibrionaceae,17,2.8333333333333335e-4,c_m1
1,Beijerinckiaceae,0,0,c_m1
1,Bifidobacteriaceae,12,2e-4,c_m1
1,Blastocatellaceae,0,0,c_m1
1,Brevibacteriaceae,6,1e-4,c_m1
1,Burkholderiaceae,0,0,c_m1
1,Caldilineaceae,0,0,c_m1
1,Caulobacteraceae,0,0,c_m1
1,Cellulomonadaceae,0,0,c_m1
1,Chitinophagaceae,0,0,c_m1
1,Chthoniobacteraceae,0,0,c_m1
1,Clostridiaceae,0,0,c_m1
1,Comamonadaceae,364,0.006066666666666666,c_m1
1,Corynebacteriaceae,177,0.00295,c_m1
1,Crocinitomicaceae,6,1e-4,c_m1
1,Defluviitaleaceae,0,0,c_m1
1,Devosiaceae,0,0,c_m1
1,Diplorickettsiaceae,0,0,c_m1
1,Enterobacteriaceae,2976,0.0496,c_m1
1,Enterococcaceae,1582,0.026366666666666667,c_m1
1,Erwiniaceae,321,0.00535,c_m1
1,Flavobacteriaceae,81,0.00135,c_m1
1,Fusobacteriaceae,0,0,c_m1
1,Gemmataceae,86,0.0014333333333333333,c_m1
1,Hyphomonadaceae,0,0,c_m1
1,Ilumatobacteraceae,0,0,c_m1
1,Isosphaeraceae,0,0,c_m1
1,JG30-KF-CM45,0,0,c_m1
1,Kineosporiaceae,0,0,c_m1
1,LWQ8,0,0,c_m1
1,Lachnospiraceae,0,0,c_m1
1,Lactobacillaceae,42727,0.7121166666666666,c_m1
1,Leptotrichiaceae,0,0,c_m1
1,Leuconostocaceae,0,0,c_m1
1,Methanomassiliicoccaceae,0,0,c_m1
1,Methylophilaceae,0,0,c_m1
1,Microbacteriaceae,477,0.00795,c_m1
1,Micrococcaceae,0,0,c_m1
1,Moraxellaceae,0,0,c_m1
1,Omnitrophaceae,0,0,c_m1
1,Oxalobacteraceae,99,0.00165,c_m1
1,Paenibacillaceae,363,0.00605,c_m1
1,Paracaedibacteraceae,0,0,c_m1
1,Pasteurellaceae,158,0.0026333333333333334,c_m1
1,Pectobacteriaceae,0,0,c_m1
1,Pedosphaeraceae,0,0,c_m1
1,Peptostreptococcaceae,0,0,c_m1
1,Phormidiaceae,2,3.3333333333333335e-5,c_m1
1,Pirellulaceae,27,4.5e-4,c_m1
1,Planococcaceae,0,0,c_m1
1,Polyangiaceae,0,0,c_m1
1,Prolixibacteraceae,0,0,c_m1
1,Propionibacteriaceae,57,9.5e-4,c_m1
1,Pseudanabaenaceae,12,2e-4,c_m1
1,Pseudomonadaceae,102,0.0017,c_m1
1,Rhizobiaceae,83,0.0013833333333333334,c_m1
1,Rhodanobacteraceae,0,0,c_m1
1,Rhodobacteraceae,14,2.3333333333333333e-4,c_m1
1,Roseiflexaceae,17,2.8333333333333335e-4,c_m1
1,Rubinisphaeraceae,0,0,c_m1
1,Rubritaleaceae,332,0.005533333333333334,c_m1
