Family,Time,Abundance,Abundance.family,Sample
Bacillaceae,1,0,0,m3
Bacillaceae,2,0,0,m3
Bacillaceae,3,0,0,m3
Bacillaceae,4,0,0,m3
Bacillaceae,5,0,0,m3
Bacillaceae,6,0,0,m3
Bacillaceae,7,0,0,m3
Bacillaceae,8,0,0,m3
Bacillaceae,9,0,0,m3
Bacillaceae,10,11,1.229256299938537e-4,m3
Bacillaceae,11,0,0,m3
Bacillaceae,12,0,0,m3
Bacillaceae,13,0,0,m3
Bacillaceae,17,0,0,m3
Bacillaceae,19,0,0,m3
Enterobacteriaceae,1,89846,0.9982888888888889,m3
Enterobacteriaceae,2,89977,0.9997444444444444,m3
Enterobacteriaceae,3,89967,0.9996333333333334,m3
Enterobacteriaceae,4,89974,0.9997111111111111,m3
Enterobacteriaceae,5,89962,0.9995777777777778,m3
Enterobacteriaceae,6,89975,0.9997222222222222,m3
Enterobacteriaceae,7,89976,0.9997333333333334,m3
Enterobacteriaceae,8,89927,0.9991888888888889,m3
Enterobacteriaceae,9,62774,0.6974888888888889,m3
Enterobacteriaceae,10,41106,0.4593619042297592,m3
Enterobacteriaceae,11,47399,0.5266555555555555,m3
Enterobacteriaceae,12,42124,0.4775692987925855,m3
Enterobacteriaceae,13,40813,0.45347777777777776,m3
Enterobacteriaceae,17,35881,0.40173093286757133,m3
Enterobacteriaceae,19,42158,0.46842222222222224,m3
Erysipelotrichaceae,1,0,0,m3
Erysipelotrichaceae,2,0,0,m3
Erysipelotrichaceae,3,0,0,m3
Erysipelotrichaceae,4,0,0,m3
Erysipelotrichaceae,5,0,0,m3
Erysipelotrichaceae,6,0,0,m3
Erysipelotrichaceae,7,0,0,m3
Erysipelotrichaceae,8,0,0,m3
Erysipelotrichaceae,9,0,0,m3
Erysipelotrichaceae,10,0,0,m3
Erysipelotrichaceae,11,61,6.777777777777778e-4,m3
Erysipelotrichaceae,12,165,0.0018706422538404851,m3
Erysipelotrichaceae,13,168,0.0018666666666666666,m3
Erysipelotrichaceae,17,233,0.0026087151238299968,m3
Erysipelotrichaceae,19,1484,0.01648888888888889,m3
Lachnospiraceae,1,0,0,m3
Lachnospiraceae,2,0,0,m3
Lachnospiraceae,3,0,0,m3
Lachnospiraceae,4,0,0,m3
Lachnospiraceae,5,0,0,m3
Lachnospiraceae,6,0,0,m3
Lachnospiraceae,7,0,0,m3
Lachnospiraceae,8,0,0,m3
Lachnospiraceae,9,0,0,m3
Lachnospiraceae,10,0,0,m3
Lachnospiraceae,11,0,0,m3
Lachnospiraceae,12,16,1.8139561249362282e-4,m3
Lachnospiraceae,13,62,6.888888888888888e-4,m3
Lachnospiraceae,17,103,0.0011532088315643334,m3
Lachnospiraceae,19,178,0.001977777777777778,m3
Muribaculaceae,1,14,1.5555555555555556e-4,m3
Muribaculaceae,2,2,2.2222222222222223e-5,m3
Muribaculaceae,3,2,2.2222222222222223e-5,m3
Muribaculaceae,4,5,5.555555555555556e-5,m3
Muribaculaceae,5,0,0,m3
Muribaculaceae,6,0,0,m3
Muribaculaceae,7,0,0,m3
Muribaculaceae,8,0,0,m3
Muribaculaceae,9,0,0,m3
Muribaculaceae,10,0,0,m3
Muribaculaceae,11,0,0,m3
Muribaculaceae,12,0,0,m3
Muribaculaceae,13,0,0,m3
Muribaculaceae,17,0,0,m3
Muribaculaceae,19,0,0,m3
Paenibacillaceae,1,140,0.0015555555555555555,m3
Paenibacillaceae,2,21,2.3333333333333333e-4,m3
Paenibacillaceae,3,31,3.444444444444444e-4,m3
Paenibacillaceae,4,21,2.3333333333333333e-4,m3
Paenibacillaceae,5,30,3.333333333333333e-4,m3
Paenibacillaceae,6,22,2.4444444444444443e-4,m3
Paenibacillaceae,7,24,2.666666666666667e-4,m3
Paenibacillaceae,8,73,8.111111111111111e-4,m3
Paenibacillaceae,9,27199,0.3022111111111111,m3
Paenibacillaceae,10,47853,0.5347600156450801,m3
Paenibacillaceae,11,41438,0.46042222222222223,m3
Paenibacillaceae,12,43904,0.497749560682501,m3
Paenibacillaceae,13,45637,0.5070777777777777,m3
Paenibacillaceae,17,46096,0.5161001388329078,m3
Paenibacillaceae,19,41606,0.4622888888888889,m3
Ruminococcaceae,1,0,0,m3
Ruminococcaceae,2,0,0,m3
Ruminococcaceae,3,0,0,m3
Ruminococcaceae,4,0,0,m3
Ruminococcaceae,5,8,8.888888888888889e-5,m3
Ruminococcaceae,6,3,3.3333333333333335e-5,m3
Ruminococcaceae,7,0,1.222222222222222e-4,m3
Ruminococcaceae,8,0,2.1111111111111108e-4,m3
Ruminococcaceae,9,27,3e-4,m3
Ruminococcaceae,10,515,0.005755154495166788,m3
Ruminococcaceae,11,1102,0.012244444444444445,m3
Ruminococcaceae,12,1996,0.022629102658579446,m3
Ruminococcaceae,13,3320,0.03688888888888889,m3
Ruminococcaceae,17,7003,0.07840700434412647,m3
Ruminococcaceae,19,4574,0.05082222222222222,m3
