Time,Family,Abundance,Abundance.family,Sample
0,Acholeplasmataceae,3389,0.05648333333333334,m5
0,Akkermansiaceae,8944,0.14906666666666665,m5
0,Anaerovoracaceae,31,5.166666666666667e-4,m5
0,Atopobiaceae,9,1.5e-4,m5
0,Bacillaceae,12,2e-4,m5
0,Bacteroidaceae,2644,0.044066666666666664,m5
0,Beijerinckiaceae,0,0,m5
0,Bifidobacteriaceae,47,7.833333333333334e-4,m5
0,Butyricicoccaceae,16,2.666666666666667e-4,m5
0,Chitinophagaceae,0,0,m5
0,Christensenellaceae,22,3.6666666666666667e-4,m5
0,Clostridiaceae,31,5.166666666666667e-4,m5
0,Comamonadaceae,0,0,m5
0,Corynebacteriaceae,0,0,m5
0,Deferribacteraceae,30,5e-4,m5
0,Desulfovibrionaceae,151,0.0025166666666666666,m5
0,Eggerthellaceae,15,2.5e-4,m5
0,Enterobacteriaceae,65,0.0010833333333333333,m5
0,Enterococcaceae,0,0,m5
0,Erysipelotrichaceae,186,0.0031,m5
0,Lachnospiraceae,3831,0.06385,m5
0,Lactobacillaceae,187,0.0031166666666666665,m5
0,Marinifilaceae,702,0.0117,m5
0,Microbacteriaceae,0,0,m5
0,Monoglobaceae,15,2.5e-4,m5
0,Muribaculaceae,30801,0.51335,m5
0,Oscillospiraceae,2257,0.037616666666666666,m5
0,Paenibacillaceae,0,0,m5
0,Peptococcaceae,298,0.004966666666666667,m5
0,Peptostreptococcaceae,171,0.00285,m5
0,Prevotellaceae,2531,0.04218333333333334,m5
0,Propionibacteriaceae,0,0,m5
0,Rhizobiaceae,0,0,m5
0,Rikenellaceae,1711,0.028516666666666666,m5
0,Ruminiclostridium,26,4.333333333333333e-4,m5
0,Ruminococcaceae,576,0.0096,m5
0,Saccharimonadaceae,281,0.004683333333333334,m5
0,Sutterellaceae,247,0.004116666666666667,m5
0,Tannerellaceae,668,0.011133333333333334,m5
0,UCG-010,42,7e-4,m5
0,[Eubacterium] coprostanoligenes group,64,0.0010666666666666667,m5
