Time,Enterobacteriaceae,Erysipelotrichaceae,Muribaculaceae,Paenibacillaceae,Ruminococcaceae
1,0.9913333333333332,0,0.00528888888888888,0,4.888888888888889e-4
2,0.9931,0,0.00393333333333333,3.3333333333333335e-5,3.444444444444444e-4
3,0.9956666666666668,0,0.00252222222222222,8.636950438206121e-5,5.555555555555556e-5
4,0.9972420949156244,0,0.00154278848779422,1.394056754307891e-4,0
5,0.9984724928435688,0,6.735464626783094e-4,1.9244184647951697e-4,0
6,0.9984333333333332,0,4.222222222222222e-4,3.111111111111111e-4,2.2222222222222223e-5
7,0.9991333333333332,0,3.5555555555555557e-4,4.555555555555555e-4,0
8,0.9967444444444444,0,2.2222222222222223e-4,0.00284444444444444,0
9,0.8875,0,0,0.11244444444444444,0
10,0.6319915969538958,0,0,0.36795838491453153,0
11,0.5497888888888889,5.666666666666667e-4,0,0.44964444444444446,0
12,0.49505279574566,0.00106102830261038,0,0.5036816403753228,2.0453557640682127e-4
13,0.46356491527901145,4.722337782075355e-4,5.621830692946851e-5,0.5334780017764985,0.00242863085935304
14,0.46623201979259193,0.00242361977810009,1.0327484130821248e-4,0.5231307235545961,0.00785758425562589
15,0.4688991243061724,0.00437500577799265,1.5033137568695647e-4,0.5127834453326937,0.01328653765189874
16,0.47156622881975285,0.00632639177788521,1.973879100657005e-4,0.5024361671107913,0.01871549104817159
17,0.47423333333333334,0.00827777777777777,2.4444444444444443e-4,0.4920888888888889,0.02414444444444444
18,0.45445,0.00966111111111111,2.777777777777778e-4,0.5185222222222222,0.01564444444444444
19,0.43466666666666665,0.01104444444444444,3.111111111111111e-4,0.5449555555555555,0.00714444444444444
