Time,Acholeplasmataceae,Akkermansiaceae,Bacteroidaceae,Enterobacteriaceae,Lachnospiraceae,Lactobacillaceae,Muribaculaceae,Oscillospiraceae,Paenibacillaceae,Prevotellaceae,Rikenellaceae
1,7.333333333333333e-4,6.833333333333333e-4,1.8333333333333336e-4,0.87065,7.833333333333334e-4,0.11368333333333332,0.00215,1.6666666666666667e-5,0,0,0
2,4.333333333333333e-4,3.5e-4,1.5e-4,0.98775,1.5e-4,0.00943333333333333,7.666666666666667e-4,3.3333333333333335e-5,0,0,0
3,1.6666666666666666e-4,1.8333333333333336e-4,6.666666666666667e-5,0.9872166666666666,3.5e-4,0.01056666666666666,2.3333333333333333e-4,3.3333333333333335e-5,0,3.3333333333333335e-5,3.3333333333333335e-5
4,8.333333333333333e-5,0,0,0.9844333333333334,0,0.01425,0,0,0,0,0
5,1.6666666666666666e-4,0,0,0.994,0,0.00576666666666666,0,0,0,0,0
6,1.3333333333333334e-4,0,0,0.9918166666666668,0,0.00795,0,0,0,0,0
7,2.1666666666666663e-4,0,0,0.9835333333333334,8.333333333333333e-5,0.01501666666666666,0,0,0,0,0
8,1.1666666666666668e-4,1.6666666666666667e-5,0,0.7630333333333333,0,0.23295,0,0,1.8333333333333336e-4,0,0
9,0,0,0,0.7700666666666667,0,0.22861666666666663,0,0,0.00128333333333333,0,0
10,0,0,0,0.8314779347218897,0,0.15347937115952437,0,0,0.0150426941185859,0,0
11,3.841573508509085e-5,0,0,0.5178249010794822,0,0.06786139602781299,0,0,0.41427528715761974,0,0
12,0,0,0,0.45915562447138425,0,0.04306456160135325,0,0,0.4972159571468847,0,0
13,0,0,0,0.35058056630678347,0,0.03243023018944795,4.074149521287431e-5,0,0.6159095538806274,0,0
14,0,0,0,0.3754959492528094,0,0.026704045995581,0,0,0.5978000047516097,0,0
15,0,0,0,0.3874915520485141,0,0.03788335433905054,0,0,0.5743693718377263,0,0
16,0,0,0,0.37367608593113505,0,0.05220616611637579,8.575961579692123e-5,0,0.5733244715063677,0,0
17,0,0,0,0.4205964017246439,0,0.00880381046976229,6.772161899817151e-5,0,0.5705320661865957,0,0
18,1.3678553981436248e-4,0,0,0.38038104543234,2.344894968246214e-4,0.02831460674157303,3.712750366389839e-4,0,0.590561797752809,0,0
