Time,Acholeplasmataceae,Akkermansiaceae,Enterobacteriaceae,Lachnospiraceae,Lactobacillaceae,Muribaculaceae,Oscillospiraceae,Paenibacillaceae,Prevotellaceae
1,0,0,0.998102849084163,3.1898997699914374e-4,1.3431156926279738e-4,3.525678693148431e-4,0,9.569699309974312e-4,5.036683847354901e-5
2,0,0,0.99937106918239,0,1.7470300489168413e-4,0,0,4.5422781271837873e-4,0
3,0,0,0.9997303082913344,0,2.456848357791754e-4,0,0,2.696917086655317e-4,0
4,0,0,0.9993166666666666,0,3.1666666666666665e-4,0,0,3.666666666666666e-4,0
5,0,0,0.998398762189198,0,5.757259544456839e-4,0,0,0.00102551185635637,0
6,9.82163903512218e-5,0,0.9988017600377151,0,4.125088394751316e-4,0,0,6.875147324585526e-4,0
7,0,0,0.9877710517593288,0,0.00169216544842384,0,0,0.00880972733457774,0
8,0,0,0.8512002155960654,0,0.1207337966082119,0,0,0.02679551098192458,0
9,0,0,0.8321398920713989,0,0.12313200498132006,0,0,0.04472810294728103,0
10,6.666666666666667e-5,0,0.8069166666666666,0,0.121,5e-5,0,0.07196666666666666,0
11,0,0,0.5679622332019764,0,0.03120561701106199,0,0,0.4008321497869616,0
12,0,0,0.41583333333333333,0,0.00988333333333333,0,0,0.5740666666666666,0
13,0,0,0.3329238081811041,0,0.01007029062858754,0,0,0.6566030895651649,0
14,0,0,0.4080258596144506,0,0.02155526152712412,0,0,0.5704188788584253,0
15,0,0,0.37485,0,0.01491666666666666,0,0,0.6101666666666666,0
16,0,0,0.4202395166250588,0,0.02590542349578494,0,0,0.5538550598791563,0
17,0,0,0.40469145332132594,0,0.01648870020155238,0,0,0.5788198464771217,0
18,0,0,0.4038882396685435,0,0.01157973016041644,0,0,0.58453203017104,0
