Time,Acholeplasmataceae,Akkermansiaceae,Bacteroidaceae,Enterobacteriaceae,Lachnospiraceae,Lactobacillaceae,Marinifilaceae,Muribaculaceae,Oscillospiraceae,Paenibacillaceae,Prevotellaceae,Rikenellaceae
1,1.9204916458613405e-4,3.840983291722681e-5,0,0.9990973689264452,0,5.761474937584022e-5,0,2.880737468792011e-4,3.840983291722681e-5,2.880737468792011e-4,0,0
2,0,0,0,0.9992854653189264,0,2.788428023701638e-4,0,0,0,3.6598117811084e-4,0,0
3,0,0,0,0.9997886803085267,0,0.00273108806785174,0,0,0,2.1131969147325044e-4,0,0
4,0,0,0,0.9942333333333332,0,0.00518333333333333,0,0,0,4.487130189784776e-4,0,0
5,0,0,0,0.9980274442538594,0,0.00113207547169811,0,0,0,6.861063464837049e-4,0,0
6,0,0,0,0.995530034152548,0,0.00405142971941338,0,0,0,2.8460456706622914e-4,0,0
7,0,0,0,0.9902079691791816,0,0.00777654906717083,0,0,0,0.00148039810223664,0,0
8,0,0,0,0.8802,0,0.1088,0,0,0,0.011,0,0
9,0,0,0,0.8133786316776007,0,0.15721649484536082,0,0,0,0.02940487347703842,0,0
10,0,0,0,0.7289325030364958,0,0.06057568104262662,0,0,0,0.2104918159208776,0,0
11,0,0,0,0.6215166666666667,0,0.00741666666666666,0,0,0,0.37106666666666666,0,0
12,0,0,0,0.42233333333333334,0,0.0087,0,0,0,0.5687666666666666,0,0
13,0,0,0,0.37832974632184313,0,0.03995695586211763,0,0,0,0.5813781180538404,0,0
14,0,0,0,0.35836165004201836,0,0.01549197997734663,0,0,0,0.626146369980635,0,0
15,0,0,0,0.4261546773983194,0,0.026027984275147652,0,0,0,0.5477055502766754,0,0
16,0,0,0,0.46675,0,0.01721666666666667,0,0,0,0.51595,0,0
17,0,0,0,0.4251536397472518,0,0.03193975590755648,0,0,0,0.5429066043451918,0,0
18,0,0,0,0.4211,0,0.02256666666666666,0,0,0,0.5562833333333334,5e-5,0
