ID,time,frequency,cluster,cluster_orig
27,7,1.758032537161231e-4,2,1
27,2,3.202322751435708e-5,2,1
27,13,3.355497983445876e-5,2,1
27,5,2.6696232945075507e-4,2,1
27,1,8.465714003247703e-5,2,1
27,19,3.4107584039291935e-5,2,1
27,17,2.430289990779194e-5,2,1
27,11,3.229817272461877e-5,2,1
27,6,1.3374219845670477e-4,2,1
27,9,1.2062796884404778e-4,2,1
27,4,6.931380379177854e-5,2,1
27,8,1.27411413307791e-4,2,1
27,3,1.4521075015114257e-4,2,1
27,10,7.070031358002537e-5,2,1
27,12,7.234287116562097e-5,2,1
28,7,6.288706815111318e-5,8,2
28,2,0,8,2
28,13,2.504102972720803e-7,8,2
28,5,1.5654793438717496e-4,8,2
28,1,2.2323971857879217e-5,8,2
28,19,7.693440008862842e-6,8,2
28,17,0,8,2
28,11,3.5302653908304236e-5,8,2
28,6,9.887952172485028e-5,8,2
28,9,1.6968128609776543e-5,8,2
28,4,2.107278959498795e-4,8,2
28,8,6.012971064629638e-5,8,2
28,3,4.152268182426462e-5,8,2
28,10,1.646834613510631e-5,8,2
28,12,4.822858077708064e-5,8,2
220,7,0.00124394828859506,2,1
220,2,7.387814768663081e-5,2,1
220,13,5.150939814886692e-4,2,1
220,5,0.00230580239671389,2,1
220,1,1.3046477059799542e-5,2,1
220,19,2.820928003249709e-4,2,1
220,17,2.3530925440132664e-4,2,1
220,11,8.247300849216606e-4,2,1
220,6,0.00151173536822631,2,1
220,9,9.17512990645008e-4,2,1
220,4,6.722394036087065e-4,2,1
220,8,0.00106988502775502,2,1
220,3,2.3252701821588188e-4,2,1
220,10,5.082472341696603e-4,2,1
220,12,6.179877948592589e-4,2,1
228,7,2.0222049795804052e-4,6,3
228,2,2.4551141094340427e-4,6,3
228,13,5.634231688621807e-5,6,3
228,5,4.023019542910642e-4,6,3
228,1,3.592130017131474e-4,6,3
228,19,1.7951360020679967e-5,6,3
228,17,7.719744676592734e-5,6,3
228,11,7.285866870437257e-5,6,3
228,6,2.4179610879520097e-4,6,3
228,9,1.6165998893678015e-4,6,3
228,4,3.437825343843489e-4,6,3
228,8,1.6370115057009324e-4,6,3
228,3,5.004076340992805e-4,6,3
228,10,7.070031358002537e-5,6,3
228,12,6.808740815587856e-5,6,3
269,7,0.00125820892486725,2,1
269,2,6.151830548810702e-5,2,1
269,13,4.304553010107061e-4,2,1
269,5,0.00281676960713683,2,1
269,1,4.7257239127718344e-5,2,1
269,19,2.936329603382652e-4,2,1
269,17,2.478895790594778e-4,2,1
269,11,4.722042927025659e-4,2,1
269,6,0.00174843459445838,2,1
269,9,7.925658617911988e-4,2,1
269,4,0.00112643638925935,2,1
269,8,9.138656463864428e-4,2,1
269,3,7.663900702421413e-5,2,1
269,10,5.474305404911202e-4,2,1
269,12,5.629031903442599e-4,2,1
356,7,1.3769696334946344e-4,2,1
356,2,1.853976329778568e-5,2,1
356,13,1.2520514863604014e-4,2,1
356,5,3.32336397023053e-4,2,1
356,1,0,2,1
356,19,3.641561604195079e-5,2,1
356,17,1.4867656414178596e-5,2,1
356,11,3.955900225185864e-5,2,1
356,6,1.730901318441194e-4,2,1
356,9,4.689373724883699e-5,2,1
356,4,2.2396369767896284e-4,2,1
356,8,7.92016893534917e-5,2,1
356,3,4.7454493513445284e-7,2,1
356,10,8.347747868484923e-5,2,1
356,12,5.508460451499897e-5,2,1
400,7,2.0292184072552504e-4,7,4
400,2,1.061822807054998e-4,7,4
400,13,1.1669119852878942e-4,7,4
400,5,5.035333699632177e-4,7,4
400,1,4.667739570283836e-5,7,4
400,19,8.48842880977867e-5,7,4
400,17,7.69115302964239e-5,7,4
400,11,7.511202959213667e-5,7,4
400,6,3.060168290907223e-4,7,4
400,9,1.8233025469778063e-4,7,4
400,4,3.350747700888993e-4,7,4
400,8,2.3151263041789883e-4,7,4
400,3,6.73853807890923e-5,7,4
400,10,2.896157423760075e-5,7,4
400,12,7.659833417536338e-5,7,4
479,7,7.855038995826777e-5,5,5
479,2,1.2359842198523784e-5,5,5
479,13,5.634231688621807e-5,5,5
479,5,6.034529314365962e-5,5,5
479,1,5.6824655638238006e-5,5,5
479,19,4.282681604933649e-5,5,5
479,17,1.5439489353185468e-5,5,5
479,11,5.007468639475779e-7,5,5
479,6,6.014321424501204e-5,5,5
479,9,0,5,5
479,4,3.4831057181798266e-7,5,5
479,8,6.012971064629638e-5,5,5
479,3,1.850725247024366e-5,5,5
479,10,1.675228313743573e-5,5,5
479,12,1.276638902922723e-5,5,5
492,7,8.970173996127185e-4,2,1
492,2,5.786653392945227e-5,2,1
492,13,5.168468535695737e-4,2,1
492,5,0.0016170789423569,2,1
492,1,5.160606481431819e-5,2,1
492,19,3.3825491238966964e-4,2,1
492,17,3.994253078962981e-4,2,1
492,11,4.686990646549328e-4,2,1
492,6,0.00112600329584814,2,1
492,9,4.624586324737279e-4,2,1
492,4,7.363285488232154e-4,2,1
492,8,7.965199996185604e-4,2,1
492,3,7.474082728367632e-5,2,1
492,10,4.4521321965252926e-4,2,1
492,12,4.8110373471254463e-4,2,1
493,7,8.112198010571105e-5,5,5
493,2,1.9663385315833295e-5,5,5
493,13,2.328815764630347e-5,5,5
493,5,1.3708876377200937e-4,5,5
493,1,6.84215241358376e-5,5,5
493,19,2.538835202924738e-5,5,5
493,17,1.7726821109212944e-5,5,5
493,11,2.5037343197378893e-7,5,5
493,6,8.9093507203628e-5,5,5
493,9,1.0797900024403252e-5,5,5
493,4,1.4838030359446062e-4,5,5
493,8,2.1191087452439253e-5,5,5
493,3,3.0370875848604985e-5,5,5
493,10,3.350456627487146e-5,5,5
493,12,2.056807121375498e-5,5,5
629,7,1.9684353674065912e-4,5,5
629,2,2.1489271095160672e-4,5,5
629,13,1.259563795278564e-4,5,5
629,5,3.653513943588958e-4,5,5
629,1,2.525218115352311e-4,5,5
629,19,7.411347208537872e-5,5,5
629,17,2.201556815176446e-5,5,5
629,11,5.5582901898181136e-5,5,5
629,6,2.448542383330829e-4,5,5
629,9,1.915855975758406e-4,5,5
629,4,1.3723436529628516e-4,5,5
629,8,1.594629330796054e-4,5,5
629,3,8.826535793500822e-5,5,5
629,10,9.540283278268485e-5,5,5
629,12,1.238812565058346e-4,5,5
788,7,0.0028200992680553,2,1
788,2,4.3259447694833246e-5,2,1
788,13,0.00106023719864998,2,1
788,5,0.00498832559084273,2,1
788,1,7.827886235879726e-5,2,1
788,19,8.25506112950983e-4,2,1
788,17,6.756206174366159e-4,2,1
788,11,0.00169602962819044,2,1
788,6,0.00377638222867917,2,1
788,9,0.00172550442389964,2,1
788,4,0.00331069198512992,2,1
788,8,0.00217288112965449,2,1
788,3,6.83344706593612e-5,2,1
788,10,0.00114653761540619,2,1
788,12,0.0013447263110786,2,1
820,7,0.00203646561585259,2,1
820,2,0,2,1
820,13,0.00105472817211,2,1
820,5,0.00273390415024753,2,1
820,1,0,2,1
820,19,8.365333769636865e-4,2,1
820,17,7.236545843131929e-4,2,1
820,11,9.008436082416924e-4,2,1
820,6,0.00219430988108157,2,1
820,9,0.00128340754575764,2,1
820,4,0.00160153200921908,2,1
820,8,0.00165634837300128,2,1
820,3,2.396451922428987e-5,2,1
820,10,0.00104403635756527,2,1
820,12,0.0016092742615175801,2,1
867,7,6.779646752350492e-5,7,4
867,2,1.8820668802297583e-5,7,4
