cutoff,n_clusters,dist_spread
0.1,19,2.5255853960255403
0.11,18,2.5255853960255403
0.12,15,2.796171772647006
0.13,16,2.8650780996629064
0.14,15,2.8650780996629064
0.15,14,3.32195339793279
0.16,13,3.5133159797309155
0.17,11,3.493350222598136
0.18,13,3.493350222598136
0.19,12,3.8573094052262697
0.2,11,4.111356732436216
0.21,11,4.111356732436216
0.22,10,4.111356732436216
0.23,10,4.111356732436216
0.24,9,4.988828123186093
0.25,8,4.988828123186093
0.26,8,5.446312949385396
0.27,9,5.315135599664329
0.28,9,5.315135599664329
0.29,9,5.315135599664329
0.3,9,5.211276997641805
0.31,9,5.211276997641805
0.32,9,5.211276997641805
0.33,9,5.211276997641805
0.34,8,5.211276997641805
0.35,6,4.424447619666775
0.36,5,8.784762685775842
0.37,5,8.784762685775842
0.38,5,8.784762685775842
0.39,5,8.784762685775842
0.4,5,8.784762685775842
0.41,5,8.784762685775842
0.42,5,8.784762685775842
0.43,5,8.784762685775842
0.44,5,8.784762685775842
0.45,5,8.784762685775842
0.46,5,8.784762685775842
0.47,5,8.784762685775842
0.48,5,8.784762685775842
0.49,5,8.780799805816924
0.5,5,8.780799805816924
0.51,5,8.780799805816924
0.52,5,8.780799805816924
0.53,5,8.780799805816924
0.54,5,8.780799805816924
0.55,5,8.780799805816924
0.56,5,8.780799805816924
0.57,5,8.776539620031679
0.58,4,10.912579859758997
0.59,4,10.912579859758997
0.6,4,10.912579859758997
0.61,4,10.912579859758997
0.62,4,10.912579859758997
0.63,4,10.912579859758997
0.64,4,10.912579859758997
0.65,4,10.912579859758997
0.66,3,15.86583801362044
0.67,3,15.86583801362044
0.68,3,15.86583801362044
0.69,3,15.86583801362044
0.7,3,15.86583801362044
0.71,2,25.090928107545295
0.72,2,25.090928107545295
0.73,2,25.090928107545295
0.74,2,25.090928107545295
0.75,2,25.090928107545295
0.76,2,25.090928107545295
0.77,2,25.090928107545295
0.78,2,25.09526110235721
0.79,2,25.09526110235721
0.8,2,25.09526110235721
0.81,2,25.09526110235721
0.82,2,25.09526110235721
0.83,2,25.09526110235721
0.84,2,25.09526110235721
0.85,2,25.09526110235721
0.86,2,25.09526110235721
0.87,2,25.09526110235721
0.88,2,25.09526110235721
0.89,2,25.082727232352394
0.9,2,25.082727232352394
0.91,2,25.082727232352394
0.92,2,25.082727232352394
0.93,2,25.082727232352394
0.94,2,25.082727232352394
0.95,2,25.082727232352394
0.96,2,25.082727232352394
0.97,2,25.082727232352394
0.98,2,25.082727232352394
0.99,2,25.082727232352394
1,2,25.082727232352394
1.01,2,25.082727232352394
1.02,2,25.082727232352394
1.03,2,25.082727232352394
1.04,2,25.082727232352394
1.05,2,25.082727232352394
1.06,2,25.082727232352394
1.07,2,25.082727232352394
1.08,2,25.082727232352394
1.09,2,25.082727232352394
1.1,2,25.082727232352394
1.11,2,25.082727232352394
1.12,2,25.082727232352394
1.13,2,25.082727232352394
1.14,2,25.082727232352394
1.15,2,25.082727232352394
1.16,2,25.082727232352394
1.17,2,25.082727232352394
1.18,2,25.082727232352394
1.19,2,25.082727232352394
1.2,2,25.082727232352394
1.21,2,25.082727232352394
1.22,2,25.082727232352394
1.23,2,25.082727232352394
1.24,2,25.082727232352394
1.25,2,25.082727232352394
1.26,2,25.082727232352394
1.27,2,25.082727232352394
1.28,2,25.082727232352394
1.29,2,25.082727232352394
1.3,2,25.082727232352394
1.31,2,25.082727232352394
1.32,2,25.082727232352394
1.33,2,25.082727232352394
1.34,2,25.082727232352394
1.35,2,25.082727232352394
1.36,2,25.082727232352394
1.37,2,25.082727232352394
1.38,2,25.082727232352394
1.39,2,25.082727232352394
1.4,2,25.082727232352394
