Time,Sample,q_0,q_1,q_inf,Cohort
1,m1,647,5.7000809824053444,2.2702265025999275,colonized
2,m1,15978,10567.729378479413,396.4448096411942,colonized
3,m1,18531,10884.550871552032,409.3233364573571,colonized
4,m1,10133,1830.4787471692948,50.619928546042914,colonized
5,m1,3285,286.3978376689461,17.96236450026264,colonized
6,m1,2634,86.57707889864308,5.763657403317845,colonized
7,m1,2119,38.194159860612594,3.9622936721502486,colonized
8,m1,1703,30.406420301970478,3.95502979566241,colonized
9,m1,1585,30.869204514636074,3.8402705043018353,colonized
10,m1,1350,21.221572352407673,3.5680093857483217,colonized
11,m1,1168,18.594741380154513,3.4131470803940833,colonized
12,m1,1278,20.08993340614365,3.460189830285169,colonized
13,m1,1018,16.514330022353953,3.5762471302715353,colonized
17,m1,942,21.814766677150864,3.7539769210184164,colonized
19,m1,1119,29.08265359096634,4.467682307536055,colonized
1,m2,702,12.99787344751386,4.733542226612777,colonized
2,m2,30688,18984.476676931026,545.8289760348583,colonized
3,m2,12932,5980.082509900291,464.47399629400866,colonized
4,m2,30612,8240.530934450075,58.62374974334907,colonized
5,m2,4747,55.89884000191576,4.236943655932824,colonized
6,m2,11652,145.18347048092227,16.26574156440979,colonized
7,m2,1274,26.53854951506187,2.8420511452614914,colonized
8,m2,1231,14.813056915527081,2.2806895996323906,colonized
9,m2,1021,8.965619879545727,1.9865056622418864,colonized
10,m2,828,6.861383560332747,1.8777098728873487,colonized
11,m2,916,7.262424649126379,1.8482456471157784,colonized
12,m2,942,12.566048980204629,2.2187926430883516,colonized
13,m2,759,15.82125940475462,2.48886832492985,colonized
17,m2,1220,19.68262271281121,3.237630948256464,colonized
19,m2,1083,16.66025758565591,3.358774468920179,colonized
1,m3,29548,18171.664779883526,446.03737230053014,colonized
2,m3,31409,18547.41407147375,470.7015734496893,colonized
3,m3,20806,12986.52457827096,368.24499781564003,colonized
4,m3,15152,3628.731902911088,58.02698223416942,colonized
5,m3,11243,350.41220279270937,28.424893103962614,colonized
6,m3,2402,137.74738464395324,15.798648487600937,colonized
7,m3,1924,112.99136396632744,15.910451591785725,colonized
8,m3,1659,83.38749359081626,10.517498648806772,colonized
9,m3,1348,50.44428808418278,6.175239760867826,colonized
10,m3,1348,42.955934035023574,5.082022992353679,colonized
11,m3,1261,42.67839664942858,4.784053450621898,colonized
12,m3,1383,48.09197573074524,4.902658652152143,colonized
13,m3,1901,44.648734638829694,4.593420168763171,colonized
17,m3,1333,29.278715733139727,3.30439937833331,colonized
19,m3,1388,34.59217510070634,3.879497023788797,colonized
1,m4,414,8.008147583989642,2.620520908422059,colonized
2,m4,32621,19330.47938702984,491.1543829578844,colonized
3,m4,15137,9233.507659914387,223.81828889098276,colonized
4,m4,10379,1235.305288330121,25.144615195544457,colonized
5,m4,5536,113.26399007481939,10.953478125647937,colonized
6,m4,3184,23.116318370882126,3.208704943164154,colonized
7,m4,1642,13.157540650138435,2.700679107791749,colonized
8,m4,1330,12.025846742102205,2.7280976440766675,colonized
9,m4,1124,9.253617301762795,2.6471548528731588,colonized
10,m4,1060,8.833685096970878,2.8367177407984636,colonized
11,m4,822,8.767114654175753,3.028223656106121,colonized
12,m4,997,9.82594310568339,3.4291110799607507,colonized
13,m4,1000,9.84320148471486,4.028832168619827,colonized
17,m4,1077,7.794112508962721,2.8291156211906108,colonized
19,m4,1069,7.405238905080481,2.572198428066978,colonized
1,m5,181,10.45955551030898,3.4221543829044916,colonized_2
2,m5,95123,30773.51970635846,252.51900154256063,colonized_2
3,m5,65037,25741.164211009702,300.20835010060364,colonized_2
4,m5,37929,561.5849718044826,9.27318198042494,colonized_2
5,m5,42650,334.997849023996,12.76273126398688,colonized_2
6,m5,15354,74.0958298829035,5.859855803838664,colonized_2
7,m5,3171,41.25146527449945,4.292749571962682,colonized_2
8,m5,6898,31.061338890054152,4.742998637701789,colonized_2
9,m5,7771,32.41119789730189,4.942838803886486,colonized_2
10,m5,3383,30.330066509709948,5.202780007927932,colonized_2
11,m5,2280,29.439657742308505,5.6292478907864725,colonized_2
12,m5,2609,27.7448624376599,6.4633725318393624,colonized_2
13,m5,2361,27.922622843284515,6.608847172420258,colonized_2
14,m5,1596,24.161621852003776,5.247288799159698,colonized_2
15,m5,1856,23.586705917131564,4.618900666657026,colonized_2
16,m5,1182,21.538896837551647,4.050277341425567,colonized_2
17,m5,1372,20.247449851348915,3.6725151351285867,colonized_2
18,m5,1273,19.95470182958934,3.5947280274598024,colonized_2
2,m6,51773,22377.384590877602,311.53753373819166,colonized_2
3,m6,49464,21775.91106676688,325.0295149035652,colonized_2
4,m6,53748,1384.9842739552773,7.35883624638159,colonized_2
5,m6,29595,295.92302111621683,13.78345962709097,colonized_2
6,m6,7196,73.93075682398658,4.3884483244096275,colonized_2
7,m6,3890,43.6493999888213,3.645896539832486,colonized_2
8,m6,2418,31.497200751971562,3.4506715164319375,colonized_2
9,m6,2144,24.17152105493021,3.5618880460086975,colonized_2
10,m6,2061,23.074850249367124,4.075387084413046,colonized_2
11,m6,1627,21.421934139746426,4.387852098199194,colonized_2
12,m6,1643,19.247834444909557,4.602921569050089,colonized_2
13,m6,1501,18.466613898847548,4.860890936731962,colonized_2
15,m6,1211,15.115197139009037,3.6440207437237797,colonized_2
16,m6,1169,15.17088820906678,3.7382238208622525,colonized_2
17,m6,1017,14.919230396286228,3.7319339664237083,colonized_2
18,m6,1088,15.120577798324186,3.726442821769042,colonized_2
2,m7,56776,24704.676672697962,336.246896294222,colonized_2
3,m7,76644,27421.549774162777,321.4803298231671,colonized_2
4,m7,40389,16146.376013233219,262.35532646048114,colonized_2
5,m7,35723,195.2588304157972,9.58705776852093,colonized_2
6,m7,13285,116.20820740514999,7.434586821085888,colonized_2
7,m7,9020,76.31399351040974,8.426630634335483,colonized_2
