Time,m1,m2,m3,m4
3,0,6020,0,0
6,332580645.2,198257142.9,214526315.8,113544827.6
12,727393333.3,21309230.77,98900000,28523174.6
24,64600000,117533333.3,61448062.02,29793333.33
48,727393333.3,21309230.77,98900000,28523174.6
72,6420000000,15134594595,10005217391,7553333333
96,1195254902,19682222222,7536613757,8944057971
120,20312941176,9191891892,18272713178,8587777778
144,18938947.37,18204444.44,9128888.889,11108421.05
168,14015555.56,16513220.34,17395555.56,16593333.33
192,613946666.7,1542000,7276744.186,20114285.71
216,13706666.67,1201894.737,11434285.71,14585714.29
240,17363076.92,1290095.238,22315061.73,13662978.72
336,15882222.22,1356464.646,9469473.684,8347474.747
384,6408888.889,486588.2353,7538494.624,6020000
