series,m1.C1,m1.C2,m1.C3,m1.C4,m1.C5,m1.C6,m1.C7,m1.C8,m1.C9,m1.Enterobacteriaceae,m1.Lachnospiraceae,m1.Muribaculaceae,m1.Paenibacillaceae,m1.Ruminococcaceae,m2.C1,m2.C2,m2.C3,m2.C4,m2.C5,m2.Enterobacteriaceae,m2.Muribaculaceae,m2.Paenibacillaceae,m3.C1,m3.C2,m3.C3,m3.C4,m3.C5,m3.C6,m3.C7,m3.C8,m3.C9,m3.C10,m3.C11,m3.C12,m3.C13,m3.Enterobacteriaceae,m3.Paenibacillaceae,m3.Ruminococcaceae,m4.C1,m4.C2,m4.C3,m4.C4,m4.C5,m4.C6,m4.C7,m4.C8,m4.C9,m4.C10,m4.C11,m4.C12,m4.C13,m4.C14,m4.Enterobacteriaceae,m4.Paenibacillaceae,m5.C1,m5.C2,m5.C3,m5.C4,m5.C5,m5.C6,m5.C7,m5.C8,m5.C9,m5.Enterobacteriaceae,m5.Lactobacillaceae,m5.Paenibacillaceae,m6.C1,m6.C2,m6.C3,m6.C4,m6.C5,m6.C6,m6.Enterobacteriaceae,m6.Lactobacillaceae,m6.Paenibacillaceae,m7.C1,m7.C2,m7.C3,m7.C4,m7.C5,m7.C6,m7.C7,m7.Enterobacteriaceae,m7.Lactobacillaceae,m7.Paenibacillaceae,m8.C1,m8.C2,m8.C3,m8.C4,m8.C5,m8.C6,m8.C7,m8.Enterobacteriaceae,m8.Lactobacillaceae,m8.Paenibacillaceae
m1.C1,0,0.1600452828215826,0.2484361952700801,0.3239068573037701,0.3630454408776077,0.30936239930016696,0.40450471714850134,0.6206089749877796,0.6201206469519875,0.406067403236405,0.43129596520491686,0.3520015124314618,0.25187232364139656,0.430009661078274,0.06868113522028807,0.3076758174979498,0.3547580599999939,0.6647511624132106,0.42955994158642874,0.38653381846359014,0.5595310260411852,0.28192883270244984,0.031185049551515465,0.3284369742715799,0.3564209027199795,0.20013071322737652,0.6629259486153298,0.5951660607518898,0.6790522101004794,0.36613538125888434,0.5319025699312017,0.6389101417972826,0.6447231317467084,0.644021965520108,0.6037175660169376,0.4578282772168498,0.31133665348147466,0.2043438043988316,0.007501058710712161,0.2902757453457584,0.1328209463957113,0.37936524688605866,0.444958861745935,0.31478879211348465,0.6765072176657054,0.25830052531950176,0.6821034488523194,0.5874927384248676,0.7176982859921046,0.7154165820422345,0.6915859805725167,0.6814826594900671,0.4220880612037444,0.22932249607772426,0.059263276597045556,0.15337485463319722,0.20815718918869686,0.36057585661869096,0.6012903148676121,0.5822088814212,0.4622614328062745,0.4908361671088374,0.52259326064237,0.5784991159888997,0.3780864971901299,0.2595599074882756,0.11723944662198382,0.17195033354795652,0.4440417018466555,0.43278489870694603,0.3851419488837551,0.4842114003024943,0.6342118323894659,0.19427443199537464,0.1833015006836496,0.1034717678308944,0.10662311983617667,0.5346014600048445,0.5036647239206764,0.5870928327975828,0.4132109101538429,0.5041731396327054,0.6145059684011386,0.22845724671433842,0.24014843042578948,0.15804904886107285,0.14098030179296506,0.6061917965689763,0.45554057602181164,0.4815977705446557,0.43763330483499874,0.49659644272013703,0.6406329205988428,0.1462597731176586,0.06360949640591318
m1.C2,0.1600452828215826,0,0.2142682510174283,0.3549640347017218,0.5867377680016278,0.4649141212199046,0.6282715135886349,0.7505320237587452,0.6758075636932741,0.51885292164399055,0.5957001249424543,0.49550154176504535,0.12370261332082078,0.5093946477635167,0.07801638662151344,0.2601048761131787,0.4139542279157762,0.6431011655744363,0.41928777066459255,0.4949929354426691,0.5667051051387473,0.34311053171821815,0.07706143887129058,0.4149870961553257,0.5746344692178864,0.4969435224041362,0.5516595389678498,0.6526811802051208,0.5107900743043499,0.3680462055222692,0.6051081577502886,0.597123772839233,0.6294551856448538,0.6911387143709213,0.647211881958202,0.5557771513667178,0.30117353481700404,0.1731349594760102,0.12688893506526555,0.19885306657187474,0.20796288268468088,0.4487274279722383,0.5915091818786742,0.4292522152376279,0.7300067121476286,0.3617643866292395,0.8211410965922847,0.7398343256316045,0.7038778936165058,0.6633828895754635,0.6408522510872037,0.6003248777695771,0.5229046224591779,0.282197174786876,0.1414594037940241,0.3081932536774855,0.41493010957735255,0.49287565158573954,0.6502283464328074,0.6616067409842223,0.5309678476051247,0.5964533410202808,0.6025465612545665,0.6808134911949106,0.6938812874866087,0.24612489577082175,0.12151658095687934,0.2394898330237254,0.5415642950181201,0.507027349973181,0.5993050622491328,0.5784649613833204,0.7726880103432989,0.3695657098346944,0.2845533771230975,0.1380147135825609,0.18895118667450328,0.6935123342728955,0.5657209845424525,0.7025537582046306,0.511693429463765,0.5969151220114095,0.720858959957014,0.27230524677851564,0.2808146105829812,0.28029837261910506,0.1298552439015771,0.6581252244822009,0.5462156980415601,0.5765435997019118,0.5269982080781936,0.5505600179682832,0.7707582446058906,0.27659557465994566,0.15816528030017507
m1.C3,0.2484361952700801,0.2142682510174283,0,0.06750210783180977,0.23926690711450738,0.1798210753120585,0.45465476946402894,0.3184518989909251,0.6774914908357355,0.5005266842313596,0.48200774024682436,0.48262404797427116,0.5662372242932525,0.4476836939104458,0.2792149129288456,0.05461023146420185,0.3044765774778512,0.5766819336661428,0.24321020418880535,0.4700753148417356,0.6293485504798939,0.3867736153000003,0.2081773222277047,0.05222711947573089,0.23265386355239437,0.16645778542732959,0.648662805045688,0.698887817294938,0.6246379372377734,0.38245712561354905,0.6089657245658034,0.6174594489723901,0.7208265581279947,0.6821825051963617,0.3906629263553104,0.5357564071982283,0.405174643243869,0.5592890513409149,0.2781619044469261,0.5542786422620045,0.47345922920752226,0.06692558070535959,0.3551119914979507,0.164521998724399,0.556626182476613,0.21897445041598174,0.5868421995787456,0.40023254861330115,0.6250370885758865,0.7373402748300526,0.6376464047202275,0.6116447857924348,0.5073103812052355,0.4013239977385955,0.4096459289723904,0.13752645606815406,0.32839046359629354,0.2775024963682755,0.33057846206011043,0.6410919198210572,0.5023359978826927,0.5633343322172484,0.5793969198434906,0.4400108890919583,0.3099534415201358,0.47487856947672047,0.11923142051504365,0.3780830536714358,0.5150168750437953,0.47241592544248234,0.1683560591541482,0.5619495515049427,0.4915286783313013,0.3551731370113267,0.4206228582487158,0.1406095329414334,0.391239003970841,0.20531597287147363,0.4530111703914026,0.30394561947797005,0.4806092513456246,0.576246976791779,0.4793687624507913,0.34615167875415,0.43594573468451614,0.384023662402764,0.09972459070851636,0.38014762945463787,0.5159184489944357,0.5508482040236076,0.4893599720740651,0.5204895788005044,0.48436090716422764,0.3366070818220426,0.2622066850149256
m1.C4,0.3239068573037701,0.3549640347017218,0.06750210783180977,0,0.1819709741977359,0.17046387440583177,0.45522643018516196,0.2100233016240124,0.6509867869874613,0.5752061220545528,0.523576970430016,0.5360357161569785,0.5347598812478211,0.4371002221208028,0.39865550418321283,0.13938104076583124,0.4081976945938026,0.5412531686540843,0.39391986228729703,0.5327754711795575,0.6421906042931944,0.3657048800083812,0.31950643659414757,0.06238372308573581,0.275857356509571,0.18568066328329502,0.5854686171192305,0.5993555969551698,0.6411384823124349,0.4360092475132087,0.6515850580276709,0.5443600709544949,0.7106140831829036,0.6125805385509501,0.24323894873936114,0.5880203842254532,0.3893250726546943,0.6608271119987504,0.3383940909764357,0.5744359774151376,0.4769659104443532,0.0921384221329179,0.408822269410858,0.2257461291003916,0.39631388620935226,0.2547310198281014,0.5183913613775217,0.2518012015686687,0.5304063539384423,0.7264322129906333,0.6156373883743799,0.5393091547791267,0.5708131642580432,0.39370526992675436,0.44735835812082303,0.19213920119822925,0.3254842149391193,0.2552118180823515,0.2633172929040506,0.5500321896230956,0.5578502493125024,0.5982375670175775,0.6043128689772173,0.33360568760334663,0.29157961196037585,0.4618970300209553,0.19856099293942142,0.3817283282126962,0.5826432869108844,0.5390295036992807,0.14382688586447523,0.6089982478639872,0.3749058857320453,0.36379677245207176,0.4505461074379217,0.21082107344454215,0.4441407173611074,0.11935137244987482,0.3958583287302607,0.2608623993617095,0.5497806677804501,0.6069421846949018,0.3707828350864282,0.37304004726701656,0.408892290135779,0.400429314332046,0.19481687837559358,0.307546091807295,0.5824959840974603,0.6089170787369016,0.5441594520829837,0.5750361008943911,0.3942667543922789,0.39536294434605146,0.33392057688638865
m1.C5,0.3630454408776077,0.5867377680016278,0.23926690711450738,0.1819709741977359,0,0.10281176751021759,0.285030446597487,0.2393699830742163,0.35797034398557104,0.5936435595027876,0.4966484374915763,0.4413755780840798,0.4373053051893443,0.3116909753854631,0.4769413668090654,0.28460118602822937,0.4018740703734114,0.42901448339449366,0.43126733877847157,0.5910330716019484,0.4289444670660133,0.29279862283259206,0.37020586928521826,0.20151992337083047,0.1535298924925127,0.19016869921345414,0.47387085175254884,0.3916865601389774,0.5408342100243286,0.41217609677064226,0.6165167453872964,0.5287610303603347,0.5371451400409125,0.7469665087936664,0.28255945624064205,0.5444438977649075,0.293996500105449,0.5285604581840613,0.4034282934519803,0.5435719055118831,0.5753413411368584,0.217224605449732,0.34233190611210773,0.2064671370313158,0.3893940268333589,0.26174996285536267,0.3240475265819951,0.3490190753268321,0.45312422994579116,0.5396370283747931,0.4077134023338407,0.4193150826632711,0.5524371779593338,0.33841612922385733,0.46824959267536814,0.14374369870496895,0.24511189844290038,0.15916600313349982,0.10442492646300494,0.3866675176959109,0.3405992167889491,0.5855181783488921,0.42261365380065263,0.35787294250278523,0.25133453845786713,0.3526259644832479,0.28030682796034745,0.325657118967403,0.3916644512742796,0.534404591976336,0.1369567641686581,0.4297113191268498,0.392360701920936,0.24359425065399187,0.36208016675320265,0.2968809040417588,0.432023431390824,0.22412597069303553,0.2633524432188532,0.27448893227453464,0.4433156973764002,0.4152956417676268,0.39508633258595516,0.3281394495312122,0.32849004853768604,0.34070263906346676,0.30794268341582465,0.2942463572255438,0.4362367817557413,0.4181461799476417,0.53117796769991,0.5368309042535981,0.4492374083998383,0.275546779504779,0.40880105155730195
m1.C6,0.30936239930016696,0.4649141212199046,0.1798210753120585,0.17046387440583177,0.10281176751021759,0,0.16196657779455004,0.33682025016364836,0.371270255201548,0.5293796202870841,0.46601290506261817,0.5093887663227576,0.49574935223246774,0.34500218279860617,0.40241505374991426,0.22896532417549942,0.2590835079343321,0.3759219381155058,0.35446737763965763,0.52253408292842,0.5136569539007904,0.3330886335350042,0.3160673750704551,0.19823829631714296,0.056245607954842236,0.13799389242002136,0.5103913195850841,0.4842279300797858,0.5792413811123561,0.49467554963002014,0.6533002895203259,0.5006408585679597,0.6114656289013776,0.7129851370506998,0.28138695169294625,0.5822797787953544,0.3315179351600408,0.5897348875109628,0.3588287572873242,0.6301414691281099,0.5542022016011647,0.2232402156260711,0.2163326070274445,0.07034344176981366,0.43756865905171394,0.12432087032951933,0.22955100877782664,0.3897468744968168,0.43989303419380055,0.49202751537720124,0.39561414712847054,0.4124894393158629,0.5472834510193276,0.3842954909737232,0.4772899986648498,0.06930171497719262,0.2950431090954685,0.14020269770599436,0.1254918344853907,0.49354315310985386,0.48004231131727904,0.5915170604120719,0.4659608956775134,0.41745983464469283,0.24180169258776696,0.43322037638982835,0.25137841471024136,0.4176869069534861,0.5171706374898594,0.5483002064024096,0.11640725790434792,0.5122111369156648,0.4491384519255375,0.27970256902414914,0.4231345502335825,0.2742811405088731,0.5051611699949154,0.2517126487986101,0.33118486534604397,0.2498500795248071,0.5322891025927363,0.5055501544740402,0.45289891008650396,0.4269707520025665,0.3968166239005536,0.41648298103492376,0.2669825494876743,0.28474986974504757,0.5698403836747754,0.5107608245140984,0.5536581130684106,0.6134377387254891,0.4317667952025359,0.34101840571438047,0.38213798954722167
m1.C7,0.40450471714850134,0.6282715135886349,0.45465476946402894,0.45522643018516196,0.285030446597487,0.16196657779455004,0,0.5099635426741338,0.3354077433416377,0.6167271634281859,0.5463197879920463,0.5943659089495361,0.671988808805902,0.3840220141475541,0.5573365848227114,0.41613159649528486,0.2457565585024445,0.36275287448502813,0.3801841383487683,0.6171417880063998,0.5536772752940405,0.5562307698397813,0.49067809177863586,0.4323421246392921,0.18759375404721035,0.2944729727032812,0.5074168880555688,0.6488462584814767,0.627611366421031,0.6618581175055178,0.6357104224746515,0.4960909091894846,0.6490103833923546,0.6424605701436641,0.451692927554601,0.6661270616456212,0.5377730444628086,0.729938728474105,0.48256876743129773,0.7499454643963175,0.4985262421198201,0.41920577696798167,0.24267398623943892,0.21145813147200254,0.47000045133456503,0.20719517240536822,0.18991395366166208,0.4227931550991598,0.5353532025657388,0.3392033915437973,0.39829764300922477,0.44608636259746537,0.6413499151554908,0.6290128354503806,0.5818270476804202,0.31291491979237074,0.5097945973391995,0.4381344858469698,0.3505248708057662,0.5689614383167472,0.588448932740979,0.6356592717388305,0.5873839213613111,0.4748985467273177,0.3276957824746751,0.6164907601124756,0.539187008785389,0.6485585226610324,0.6335818927499868,0.6030384197413918,0.36215491974591274,0.6709122673992983,0.4590542933191497,0.4326325267130019,0.6346936803752418,0.5587252776679329,0.7518968153010135,0.4839267095234666,0.5141506849248988,0.375728756984268,0.6127242828509227,0.6805603888001999,0.4535196111787203,0.5034923841471501,0.593528732598009,0.6638827562417815,0.5739894703892248,0.4635289051683924,0.6411004286068986,0.6762564150563206,0.6135786915887044,0.6148616190985059,0.4056156280736879,0.46385312930024203,0.609024264716942
m1.C8,0.6206089749877796,0.7505320237587452,0.3184518989909251,0.2100233016240124,0.2393699830742163,0.33682025016364836,0.5099635426741338,0,0.36617978576377086,0.5135061443111906,0.3842466759072811,0.3406843381461361,0.5635763522791825,0.4260163097511708,0.7239964808929269,0.31381003999822465,0.5358227665936922,0.2677720730481481,0.47671327391622675,0.5186342318343344,0.3688005852975944,0.45647012805788534,0.6938642560203288,0.23406098947239706,0.31726608817771484,0.29731289880948397,0.3967740862853988,0.3236049544138392,0.4250472618639207,0.35719098942270855,0.5536692094000755,0.3751257952987137,0.4426288891575513,0.5109205564323342,0.22846529250511827,0.4775903438504928,0.4626508670408055,0.5900369916777528,0.6711327813578355,0.6064316366622086,0.6546805076791479,0.1724870120422407,0.475805908803262,0.3837346723368573,0.08570662631069481,0.4694743517710064,0.3868998295779479,0.2293001217605758,0.21059972529148052,0.47829435731913816,0.3454148424363339,0.22925946149211374,0.47225478967596723,0.5173852565523847,0.7179811814627757,0.37378670647267487,0.4994782928278696,0.42770768534811376,0.21366142494701357,0.22975295370399862,0.20793615309751656,0.39589294401318,0.34714861424114274,0.15537865927795735,0.3065268527347019,0.5571359738332364,0.5772821410143532,0.6010951287813777,0.2762669310985032,0.4258730313030261,0.18567990066429674,0.33609925367050975,0.14912321029513587,0.44688750110311803,0.5709639735453804,0.5560884574888857,0.6511882234018422,0.10107579268995148,0.2025332145904919,0.18508203171102522,0.3147567951383944,0.3217011870341666,0.16579384085242832,0.5414500691869968,0.5113061384300177,0.6211478171332818,0.5471687325591241,0.15673089207311275,0.3007091175396387,0.3280871742671433,0.465730931413602,0.46543807663953485,0.17730933565181561,0.5650696608757508,0.6645486528841034
m1.C9,0.6201206469519875,0.6758075636932741,0.6774914908357355,0.6509867869874613,0.35797034398557104,0.371270255201548,0.3354077433416377,0.36617978576377086,0,0.40540075528846453,0.40222685006023273,0.36297455251896615,0.635398047615743,0.5841260267860742,0.6458205971845083,0.7039921855305018,0.6381083844189509,0.2401467118343399,0.7625451138735325,0.40556109729131007,0.3549921416080707,0.5874163540165149,0.6276908032316655,0.6197747780309284,0.4135498676025755,0.6226185503206529,0.470794275677227,0.3544006765907308,0.4337748928106221,0.2959403538818348,0.30760322182814326,0.24583209885249202,0.41278966065308276,0.5458430341573843,0.451304579224983,0.38106731618939593,0.588133216716537,0.6487301047531295,0.62277058019913345,0.6560330037910993,0.683230768480021,0.5821108352220401,0.5146627212028814,0.5061220033733191,0.3693279510779103,0.6088520170373808,0.14601186374497488,0.4449853020581961,0.2694980171013769,0.18005188980250197,0.27607985649035083,0.3058141597418178,0.37265319649484674,0.641219824373972,0.649562051370307,0.6272223902749992,0.6443857733706698,0.4316238973806281,0.22739048442164445,0.32715247939071024,0.15200336233212386,0.3368300170672248,0.3525875789316728,0.3500324284468439,0.5384104772626683,0.6406042966526843,0.6435985039553056,0.6342267042528398,0.2947897396262422,0.21186651378562937,0.5237514467574067,0.37579624293584746,0.3209639886168645,0.6328206671900647,0.6100098112036318,0.6371280902886671,0.6534158262944538,0.45160697249751103,0.29014981503711235,0.307678152065457,0.3047775875704499,0.3574857119426542,0.3498136241398311,0.69338251986809,0.6263360472390785,0.6546568915532415,0.6439538967193223,0.324432863804092,0.28259735835262634,0.3628996720528077,0.32838323559577254,0.15833046200407408,0.3800992927979403,0.5712991507288546,0.6377696720863816
m1.Enterobacteriaceae,0.406067403236405,0.51885292164399055,0.5005266842313596,0.5752061220545528,0.5936435595027876,0.5293796202870841,0.6167271634281859,0.5135061443111906,0.40540075528846453,0,0.21141199798438692,0.11898370875140107,0.5308225359560829,0.5670151837679547,0.4574034847253645,0.537114050505349,0.58265233182734,0.42269263827267156,0.6234388743030375,0.005963737572602712,0.3080055496323919,0.5223926418176392,0.4318437192885002,0.5506846329533447,0.5446172147607572,0.481642162245423,0.5175792831140076,0.17837553493182012,0.35465715978291346,0.22884467856716006,0.260672875560935,0.3487745921340166,0.29035457766464756,0.5233923203611186,0.49800044837750546,0.028776917980069427,0.5269499745493792,0.5017567073455946,0.41065537664973306,0.500363068072701,0.510062931083684,0.5726722643989466,0.6118403567694688,0.529691843532852,0.3971567323503833,0.5043252330183838,0.7178620712136113,0.623700002712293,0.41169372102616775,0.5930311845184184,0.40421784895382884,0.3819499012543368,0.022227842866722858,0.45327066506439195,0.4422168084749146,0.4601096567111813,0.5261017997650321,0.5711621489239171,0.4504437251191764,0.2527279756112746,0.18173717576344994,0.2841764193070304,0.2150792906936424,0.6665084710798114,0.5817187587313886,0.4667106070889353,0.4673462852511907,0.4657656650751746,0.11438274211711819,0.20434937979679135,0.5894486609396246,0.145174514994441,0.6609560948473437,0.44751243648829653,0.43715805599657065,0.4582500343583379,0.46211350356515934,0.5675420692908884,0.33553488749999827,0.5693959390510475,0.08248099680895626,0.14452868480820058,0.7010941693263222,0.5148741439696249,0.451996267330679,0.44847139921281765,0.46842657584253244,0.4379315381644959,0.11887013506707333,0.12201759548008584,0.08975606360776578,0.16567066908796035,0.7237250685395531,0.47880266831392526,0.4477210857611227
