series1,series2,dist,pair_id
C2,C1,0.1712440596102558,C2_C1
C3,C1,0.516392596282869,C3_C1
C4,C1,0.516392596282869,C4_C1
C5,C1,0.516392596282869,C5_C1
C6,C1,0.516392596282869,C6_C1
Enterobacteriaceae,C1,0.516392596282869,Enterobacteriaceae_C1
Lactobacillaceae,C1,0.18708164685907766,Lactobacillaceae_C1
Paenibacillaceae,C1,0.1712440596102558,Paenibacillaceae_C1
C3,C2,0.516392596282869,C3_C2
C4,C2,0.516392596282869,C4_C2
C5,C2,0.516392596282869,C5_C2
C6,C2,0.516392596282869,C6_C2
Enterobacteriaceae,C2,0.516392596282869,Enterobacteriaceae_C2
Lactobacillaceae,C2,0.18708164685907766,Lactobacillaceae_C2
Paenibacillaceae,C2,0.05005798671061634,Paenibacillaceae_C2
C4,C3,0.22573041257588455,C4_C3
C5,C3,0.22573041257588455,C5_C3
C6,C3,0.11633834185695135,C6_C3
Enterobacteriaceae,C3,0.11633834185695135,Enterobacteriaceae_C3
Lactobacillaceae,C3,0.516392596282869,Lactobacillaceae_C3
Paenibacillaceae,C3,0.516392596282869,Paenibacillaceae_C3
C5,C4,0.15175097299799967,C5_C4
C6,C4,0.22573041257588455,C6_C4
Enterobacteriaceae,C4,0.22573041257588455,Enterobacteriaceae_C4
Lactobacillaceae,C4,0.516392596282869,Lactobacillaceae_C4
Paenibacillaceae,C4,0.516392596282869,Paenibacillaceae_C4
C6,C5,0.22573041257588455,C6_C5
Enterobacteriaceae,C5,0.22573041257588455,Enterobacteriaceae_C5
Lactobacillaceae,C5,0.516392596282869,Lactobacillaceae_C5
Paenibacillaceae,C5,0.516392596282869,Paenibacillaceae_C5
Enterobacteriaceae,C6,0.08224093824013268,Enterobacteriaceae_C6
Lactobacillaceae,C6,0.516392596282869,Lactobacillaceae_C6
Paenibacillaceae,C6,0.516392596282869,Paenibacillaceae_C6
Lactobacillaceae,Enterobacteriaceae,0.516392596282869,Lactobacillaceae_Enterobacteriaceae
Paenibacillaceae,Enterobacteriaceae,0.516392596282869,Paenibacillaceae_Enterobacteriaceae
Paenibacillaceae,Lactobacillaceae,0.18708164685907766,Paenibacillaceae_Lactobacillaceae
