cluster,m1.C1,m1.C2,m1.C3,m1.C4,m1.C5,m1.C6,m1.C7,m1.C8,m2.C1,m2.C2,m2.C3,m2.C4,m2.C5,m2.C6,m2.C7,m3.C1,m3.C2,m3.C3,m3.C4,m3.C5,m3.C6,m3.C7,m3.C8,m3.C9,m3.C10,m3.C11,m3.C12,m3.C13,m3.C14,m4.C1,m4.C2,m4.C3,m4.C4,m4.C5,m4.C6,m4.C7,m4.C8,m4.C9,m4.C10,m4.C11,m4.C12,m4.C13,m4.C14,m5.C1,m5.C2,m5.C3,m5.C4,m5.C5,m5.C6,m5.C7,m5.C8,m5.C9,m6.C1,m6.C2,m6.C3,m6.C4,m6.C5,m6.C6,m7.C1,m7.C2,m7.C3,m7.C4,m7.C5,m7.C6,m7.C7,m8.C1,m8.C2,m8.C3,m8.C4,m8.C5,m8.C6,m8.C7
m1.C1,1,0,0,0,0,0,0,0,0.09090909090909091,0.896551724137931,0,0.05714285714285714,0.09090909090909091,0,0,0.8285714285714286,0.02857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0.96,1,0.3,0.02857142857142857,0,0,0,0,0.02857142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02857142857142857,0,0,0,0,0.02857142857142857,0.02857142857142857,0,0,0,0,0,0.05714285714285714,0,0,0,0,0,0,0
m1.C2,0,1,0,0,0,0,0,0,0.18181818181818182,0,0,0.0625,0,0.125,0,0.1875,0.0625,0,0,0,0.0625,0,0,0,0.0625,0,0,0,0,0.0625,0,0.1,0,0,0,0.125,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0.0625,0,0.0625,0.0625,0,0,0,0,0.125,0.0625,0,0.0625,0,0,0,0.125,0,0.0625,0,0,0.125,0,0
m1.C3,0,0,1,0,0,0,0,0,0.18181818181818182,0.10344827586206896,0.27976190476190477,0.0392156862745098,0.09090909090909091,0.06722689075630252,0.1111111111111111,0.09302325581395349,0.40476190476190477,0,0.07317073170731707,0.11688311688311688,0.07339449541284404,0.1111111111111111,0.05,0.0625,0.15789473684210525,0.05,0.23076923076923078,0,0,0,0,0.1,0.125,0,0.17,0.07894736842105263,0.125,0.08695652173913043,0,0.18181818181818182,0.11538461538461539,0.08163265306122448,0.030303030303030304,0.015151515151515152,0.075,0,0.05263157894736842,0.07142857142857142,0.029411764705882353,0.06547619047619048,0,0.03571428571428571,0.013513513513513514,0,0.1488095238095238,0,0.18181818181818182,0.03571428571428571,0.018518518518518517,0,0.07738095238095238,0.04504504504504504,0.017241379310344827,0.07738095238095238,0.03571428571428571,0,0.015384615384615385,0.11904761904761904,0.05357142857142857,0.047619047619047616,0,0.05
m1.C4,0,0,0,1,0,0,0,0,0,0,0.125,0.375,0.125,0.25,0,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0.125,0.25,0,0.125,0,0.125,0,0,0,0,0.125,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0.125,0,0,0,0,0.125,0,0,0,0
m1.C5,0,0,0,0,1,0,0,0,0.09090909090909091,0,0.7571428571428571,0.13725490196078433,0.18181818181818182,0.12605042016806722,0.1111111111111111,0.023255813953488372,0.5619047619047619,0.3333333333333333,0.5365853658536586,0.12987012987012986,0.11926605504587157,0.037037037037037035,0.05,0.0625,0.2631578947368421,0.15,0.3076923076923077,0,0.5,0,0,0.1,0.19642857142857142,0.5,0.61,0.23684210526315788,0.25,0.4057971014492754,0,0.2727272727272727,0.23076923076923078,0.061224489795918366,0.2727272727272727,0,0.075,0,0.05263157894736842,0.06190476190476191,0,0.047619047619047616,0.125,0.06190476190476191,0.013513513513513514,0,0.10952380952380952,0.02564102564102564,0,0.1,0.018518518518518517,0,0.04878048780487805,0.04504504504504504,0.017241379310344827,0.08571428571428572,0.0761904761904762,0,0.015384615384615385,0.06190476190476191,0.04285714285714286,0.09047619047619047,0,0.15
m1.C6,0,0,0,0,0,1,0,0,0.2727272727272727,0,0.09090909090909091,0.2727272727272727,0,0,0.09090909090909091,0.18181818181818182,0.36363636363636365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.18181818181818182,0,0,0,0.125,0.09090909090909091,0,0,0,0.2727272727272727,0,0,0,0,0,0,0,0,0,0.18181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
m1.C7,0,0,0,0,0,0,1,0,0.09090909090909091,0,0.1596958174904943,0.1568627450980392,0.18181818181818182,0.40336134453781514,0.2222222222222222,0,0.3041825095057034,0.25,0.04878048780487805,0.15584415584415584,0.3577981651376147,0.1111111111111111,0.25,0.25,0.15789473684210525,0.15,0.15384615384615385,0.2222222222222222,0.25,0,0,0,0.16666666666666666,0.21428571428571427,0.09,0.25,0,0.17391304347826086,0,0.18181818181818182,0.19230769230769232,0.40816326530612246,0.2727272727272727,0.015151515151515152,0,0.125,0,0.03111111111111111,0.08823529411764706,0.08365019011406843,0.125,0.14068441064638784,0.013513513513513514,0,0.07224334600760456,0.02564102564102564,0,0.17110266159695817,0.037037037037037035,0,0.03414634146341464,0.018018018018018018,0.017241379310344827,0.09505703422053231,0.1634980988593156,0,0.03076923076923077,0.030418250950570342,0.06463878326996197,0.12167300380228137,0.08333333333333333,0
m1.C8,0,0,0,0,0,0,0,1,0.09090909090909091,0,0.2608695652173913,0.13043478260869565,0.09090909090909091,0.13043478260869565,0.1111111111111111,0.023255813953488372,0.4782608695652174,0.08333333333333333,0,0.08695652173913043,0.043478260869565216,0.037037037037037035,0,0,0.10526315789473684,0,0,0.2222222222222222,0,0,0,0.1,0.2608695652173913,0.07142857142857142,0.043478260869565216,0,0,0.15217391304347827,0.25,0.09090909090909091,0.038461538461538464,0.06521739130434782,0.030303030303030304,0.021739130434782608,0,0,0,0,0,0.06521739130434782,0,0.021739130434782608,0.021739130434782608,0,0,0,0,0.10869565217391304,0.021739130434782608,0,0,0,0,0.08695652173913043,0.15217391304347827,0,0.021739130434782608,0.021739130434782608,0.043478260869565216,0.10869565217391304,0,0
m2.C1,0.09090909090909091,0.18181818181818182,0.18181818181818182,0,0.09090909090909091,0.2727272727272727,0.09090909090909091,0.09090909090909091,1,0,0,0,0,0,0,0.8181818181818182,0,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,0,0.18181818181818182,0,0.4,0,0,0,0,0,0,0,0,0,0.09090909090909091,0,0,0.09090909090909091,0,0,0,0,0,0,0.09090909090909091,0.09090909090909091,0,0,0,0,0,0.09090909090909091,0,0.09090909090909091,0,0,0,0,0,0.09090909090909091,0,0,0,0,0
m2.C2,0.896551724137931,0,0.10344827586206896,0,0,0,0,0,0,1,0,0,0,0,0,0.9310344827586207,0.034482758620689655,0,0,0,0,0,0,0,0,0,0,0,0,0.92,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0.034482758620689655,0,0,0,0,0,0,0,0.034482758620689655,0.06896551724137931,0,0,0,0,0.06896551724137931,0.06896551724137931,0,0,0,0,0,0.06896551724137931,0,0.034482758620689655,0,0,0.034482758620689655,0,0
