time,window,target_i,Bacillaceae,Enterobacteriaceae,Enterococcaceae,Lactobacillaceae
2,1,Bacillaceae,-0.007420264924650037,-0.01343588514279643,-0.0019439556843742628,0.002221686681210425
2,1,Enterobacteriaceae,-0.013726547045553492,-0.02485467990483461,-0.003596070952587039,0.004109837999018989
2,1,Enterococcaceae,-0.0024249571509718593,-0.0043908736530990375,-6.352885356337987e-4,7.260515708708674e-4
2,1,Lactobacillaceae,0.0022383191661975157,0.004052927966230002,5.863932502084804e-4,-6.701706651091812e-4
3,2,Bacillaceae,-0.013282738520387872,-0.018669674949872928,0.005425600670231989,0.003669019444669948
3,2,Enterobacteriaceae,-0.02822392720771727,-0.040029450457754724,0.010934453935396025,0.007816689545668503
3,2,Enterococcaceae,-0.01040272921817946,-0.015026151631963908,0.0035798165949570025,0.002896636588241248
3,2,Lactobacillaceae,0.004215100356544315,0.0059520608436483555,-0.001676253910870154,-0.0011658874414211542
4,3,Bacillaceae,-0.008483267768232,-0.013121472723454857,0.004655705797808816,0.002527941753989137
4,3,Enterobacteriaceae,-0.01864900427324382,-0.026390180781400024,0.003845703354908284,0.00503422097861034
4,3,Enterococcaceae,-0.0073511337083899736,-0.008454515386769074,-0.0028092905514571003,0.0015966460316741498
4,3,Lactobacillaceae,0.002736127257630131,0.00408154152563777,-9.792782017800405e-4,-7.784914509582073e-4
5,4,Bacillaceae,-0.006181467130447566,-0.011005809467128036,0.00314286896309394,0.0018984772394062036
5,4,Enterobacteriaceae,-0.013185691813371127,-0.026232309859164988,9.285148798626572e-4,0.0038669647705567313
5,4,Enterococcaceae,-0.004421283529914817,-0.0160914671974283,-0.005666944887751206,0.0014425042508919162
5,4,Lactobacillaceae,0.0018689581637036194,0.004605249277598176,-1.9205862876459724e-4,-6.160354557169802e-4
6,5,Bacillaceae,-0.004883620940889163,-0.008826086740516076,0.003996008342213396,0.0013818918386975364
6,5,Enterobacteriaceae,-0.01013549846164636,-0.021566163841428725,0.015474512502074178,0.001803754471349621
6,5,Enterococcaceae,-0.0032027698808645023,-0.014036805692461352,0.007538408160767582,9.100608479742047e-5
6,5,Lactobacillaceae,0.001454024884777669,0.0037513558585793726,-0.0014953112789127835,-3.7370833106512236e-4
7,6,Bacillaceae,-0.0027042817819175934,-0.0118657270588506,-0.0031420306161528276,0.0015865059872607644
7,6,Enterobacteriaceae,-0.010599390824543257,-0.011238863717732774,0.021550066974362313,9.223756487541333e-4
7,6,Enterococcaceae,0.00151947982230489,-0.024266616347494534,-0.009943473309253822,0.0011431613257078404
7,6,Lactobacillaceae,9.493266621803426e-4,0.0039574631928436165,-7.320798960725074e-5,-3.8917038425580094e-4
8.9,7,Bacillaceae,-0.006350908979179553,9.670057136594986e-4,-0.001373729945399554,0.0010313035991910886
8.9,7,Enterobacteriaceae,-0.008899394768644013,-0.013010527436391622,0.011890683877838532,0.0012617041980257798
8.9,7,Enterococcaceae,-0.0014794795861452757,-0.014874477673400274,-0.008608064283556217,9.996777307459512e-4
8.9,7,Lactobacillaceae,0.0016019334989979049,0.0016998746678635339,2.59521016114583e-4,-3.2814207624325587e-4
