time,window,effector_j,target_i,strength
2,1,Bacillaceae,Bacillaceae,-0.0030021998585336974
2,1,Comamonadaceae,Bacillaceae,-0.02049538283846129
2,1,Enterobacteriaceae,Bacillaceae,0.017542979095841474
2,1,Enterococcaceae,Bacillaceae,-0.012594099918909777
2,1,Lactobacillaceae,Bacillaceae,6.197036529521781e-4
2,1,Sphingomonadaceae,Bacillaceae,-0.01100836981614335
2,1,Weeksellaceae,Bacillaceae,-0.07727248441003148
2,1,Bacillaceae,Comamonadaceae,-0.016374048964777854
2,1,Comamonadaceae,Comamonadaceae,-0.11178216573254368
2,1,Enterobacteriaceae,Comamonadaceae,0.09567970562881782
2,1,Enterococcaceae,Comamonadaceae,-0.06868843463347958
2,1,Lactobacillaceae,Comamonadaceae,0.0033798742373023047
2,1,Sphingomonadaceae,Comamonadaceae,-0.06003983574895989
2,1,Weeksellaceae,Comamonadaceae,-0.42144544100333664
2,1,Bacillaceae,Enterobacteriaceae,0.014038815133348587
2,1,Comamonadaceae,Enterobacteriaceae,0.09584001875774313
2,1,Enterobacteriaceae,Enterobacteriaceae,-0.08203405902996878
2,1,Enterococcaceae,Enterobacteriaceae,0.05889222865357427
2,1,Lactobacillaceae,Enterobacteriaceae,-0.0028978433919138067
2,1,Sphingomonadaceae,Enterobacteriaceae,0.05147707549485132
2,1,Weeksellaceae,Enterobacteriaceae,0.3613397424037007
2,1,Bacillaceae,Enterococcaceae,-0.011133478819991483
2,1,Comamonadaceae,Enterococcaceae,-0.07600590283522075
2,1,Enterobacteriaceae,Enterococcaceae,0.06505708993621023
2,1,Enterococcaceae,Enterococcaceae,-0.046704467161130754
2,1,Lactobacillaceae,Enterococcaceae,0.002298133975059271
2,1,Sphingomonadaceae,Enterococcaceae,-0.04082388180863005
2,1,Weeksellaceae,Enterococcaceae,-0.2865603920744277
2,1,Bacillaceae,Lactobacillaceae,5.532823687833654e-4
2,1,Comamonadaceae,Lactobacillaceae,0.003777141596270753
2,1,Enterobacteriaceae,Lactobacillaceae,-0.0032330362690793156
2,1,Enterococcaceae,Lactobacillaceae,0.002320995857761473
2,1,Lactobacillaceae,Lactobacillaceae,-1.1420662221220248e-4
2,1,Sphingomonadaceae,Lactobacillaceae,0.0020287579825860984
2,1,Weeksellaceae,Lactobacillaceae,0.014240725211758256
2,1,Bacillaceae,Sphingomonadaceae,-0.008683368199699733
2,1,Comamonadaceae,Sphingomonadaceae,-0.05927951634342164
2,1,Enterobacteriaceae,Sphingomonadaceae,0.05074017520047034
2,1,Enterococcaceae,Sphingomonadaceae,-0.036426357968424604
2,1,Lactobacillaceae,Sphingomonadaceae,0.0017923906624627219
2,1,Sphingomonadaceae,Sphingomonadaceae,-0.03183989504240417
2,1,Weeksellaceae,Sphingomonadaceae,-0.2234979233413116
2,1,Bacillaceae,Weeksellaceae,-0.06247908073166546
2,1,Comamonadaceae,Weeksellaceae,-0.4265314567085611
2,1,Enterobacteriaceae,Weeksellaceae,0.3650886879124462
2,1,Enterococcaceae,Weeksellaceae,-0.26209706970026275
2,1,Lactobacillaceae,Weeksellaceae,0.012896714538324448
2,1,Sphingomonadaceae,Weeksellaceae,-0.22909628235169333
2,1,Weeksellaceae,Weeksellaceae,-1.6081253811492473
3,2,Bacillaceae,Bacillaceae,0.011960251664458778
3,2,Comamonadaceae,Bacillaceae,-0.10559294703224037
3,2,Enterobacteriaceae,Bacillaceae,0.08931516484679863
3,2,Enterococcaceae,Bacillaceae,-0.016187119786326674
3,2,Lactobacillaceae,Bacillaceae,5.489003364077978e-4
3,2,Sphingomonadaceae,Bacillaceae,-0.061775481379057695
3,2,Weeksellaceae,Bacillaceae,-0.3642629083798641
3,2,Bacillaceae,Comamonadaceae,0.03162547860051186
3,2,Comamonadaceae,Comamonadaceae,-0.20913738585706965
3,2,Enterobacteriaceae,Comamonadaceae,0.17658887476923724
3,2,Enterococcaceae,Comamonadaceae,-0.017967979931019694
3,2,Lactobacillaceae,Comamonadaceae,3.2208101000345894e-4
3,2,Sphingomonadaceae,Comamonadaceae,-0.12381676440346404
3,2,Weeksellaceae,Comamonadaceae,-0.7116642772144586
3,2,Bacillaceae,Enterobacteriaceae,-0.025493554073889913
3,2,Comamonadaceae,Enterobacteriaceae,0.17986193500168637
3,2,Enterobacteriaceae,Enterobacteriaceae,-0.1519359456496751
3,2,Enterococcaceae,Enterobacteriaceae,0.018479906798382746
3,2,Lactobacillaceae,Enterobacteriaceae,-4.4133861851407475e-4
3,2,Sphingomonadaceae,Enterobacteriaceae,0.10617012523254746
3,2,Weeksellaceae,Enterobacteriaceae,0.6141481549486819
3,2,Bacillaceae,Enterococcaceae,0.0323334716580814
3,2,Comamonadaceae,Enterococcaceae,-0.2614782807302172
3,2,Enterobacteriaceae,Enterococcaceae,0.22106417878846085
3,2,Enterococcaceae,Enterococcaceae,-0.035260803295138435
3,2,Lactobacillaceae,Enterococcaceae,0.0010973850784930545
3,2,Sphingomonadaceae,Enterococcaceae,-0.1534748726259812
3,2,Weeksellaceae,Enterococcaceae,-0.8986666280447714
3,2,Bacillaceae,Lactobacillaceae,-0.0016762421127175465
3,2,Comamonadaceae,Lactobacillaceae,0.013564125000815665
3,2,Enterobacteriaceae,Lactobacillaceae,-0.011467693674242444
3,2,Enterococcaceae,Lactobacillaceae,0.001831008852379836
3,2,Lactobacillaceae,Lactobacillaceae,-5.7027732106420424e-5
3,2,Sphingomonadaceae,Lactobacillaceae,0.007961279761567606
3,2,Weeksellaceae,Lactobacillaceae,0.046619417125291863
3,2,Bacillaceae,Sphingomonadaceae,0.016003243644139083
3,2,Comamonadaceae,Sphingomonadaceae,-0.0989110163929217
3,2,Enterobacteriaceae,Sphingomonadaceae,0.08347658782824852
3,2,Enterococcaceae,Sphingomonadaceae,-0.006640639124875679
3,2,Lactobacillaceae,Sphingomonadaceae,5.149555855695956e-5
3,2,Sphingomonadaceae,Sphingomonadaceae,-0.05875181606565849
3,2,Weeksellaceae,Sphingomonadaceae,-0.3352889835140512
3,2,Bacillaceae,Weeksellaceae,0.11888033823302092
3,2,Comamonadaceae,Weeksellaceae,-0.8705769163264461
3,2,Enterobacteriaceae,Weeksellaceae,0.7355837383468251
3,2,Enterococcaceae,Weeksellaceae,-0.0974635711875303
3,2,Lactobacillaceae,Weeksellaceae,0.002571390494396292
3,2,Sphingomonadaceae,Weeksellaceae,-0.5130571389265215
3,2,Weeksellaceae,Weeksellaceae,-2.978202898669465
4,3,Bacillaceae,Bacillaceae,-0.007809435746409448
4,3,Comamonadaceae,Bacillaceae,-0.10688497826532975
4,3,Enterobacteriaceae,Bacillaceae,0.035759859736193896
4,3,Enterococcaceae,Bacillaceae,-0.04846194219070851
4,3,Lactobacillaceae,Bacillaceae,0.0028823815705988406
4,3,Sphingomonadaceae,Bacillaceae,-0.0698324534920723
4,3,Weeksellaceae,Bacillaceae,-0.1134456105920998
4,3,Bacillaceae,Comamonadaceae,0.05847225243843299
4,3,Comamonadaceae,Comamonadaceae,-0.041953075689202965
4,3,Enterobacteriaceae,Comamonadaceae,0.1712908250745139
4,3,Enterococcaceae,Comamonadaceae,0.08077805198789567
4,3,Lactobacillaceae,Comamonadaceae,-0.005972812411556805
4,3,Sphingomonadaceae,Comamonadaceae,-0.007147511114615637
4,3,Weeksellaceae,Comamonadaceae,-0.7747158838762092
4,3,Bacillaceae,Enterobacteriaceae,-0.03010943542073553
4,3,Comamonadaceae,Enterobacteriaceae,0.06520434933157739
4,3,Enterobacteriaceae,Enterobacteriaceae,-0.1224373088401476
4,3,Enterococcaceae,Enterobacteriaceae,-0.02631119316620562
4,3,Lactobacillaceae,Enterobacteriaceae,0.0023520722037264673
4,3,Sphingomonadaceae,Enterobacteriaceae,0.028839691957016297
4,3,Weeksellaceae,Enterobacteriaceae,0.5411019971142818
4,3,Bacillaceae,Enterococcaceae,0.005519955426547773
4,3,Comamonadaceae,Enterococcaceae,-0.2055681496694536
4,3,Enterobacteriaceae,Enterococcaceae,0.12263414069652927
4,3,Enterococcaceae,Enterococcaceae,-0.0599759463111552
4,3,Lactobacillaceae,Enterococcaceae,0.0031623355216797433
4,3,Sphingomonadaceae,Enterococcaceae,-0.1272718464093623
4,3,Weeksellaceae,Enterococcaceae,-0.4688257995950644
4,3,Bacillaceae,Lactobacillaceae,-3.458337901484789e-4
4,3,Comamonadaceae,Lactobacillaceae,0.010836171935025313
4,3,Enterobacteriaceae,Lactobacillaceae,-0.006396204615295132
4,3,Enterococcaceae,Lactobacillaceae,0.003060208986790051
4,3,Lactobacillaceae,Lactobacillaceae,-1.6189456317803542e-4
4,3,Sphingomonadaceae,Lactobacillaceae,0.006732128892082563
4,3,Weeksellaceae,Lactobacillaceae,0.02431183354468485
4,3,Bacillaceae,Sphingomonadaceae,0.03899070875668706
4,3,Comamonadaceae,Sphingomonadaceae,-0.0011447408732148281
4,3,Enterobacteriaceae,Sphingomonadaceae,0.09531402351711342
4,3,Enterococcaceae,Sphingomonadaceae,0.06314218376597927
4,3,Lactobacillaceae,Sphingomonadaceae,-0.004443912203944737
4,3,Sphingomonadaceae,Sphingomonadaceae,0.011143493209787251
