time,window,effector_j,target_i,strength
2,1,C1,C1,-0.199655713816008
2,1,C2,C1,-0.08671509883118216
2,1,C3,C1,-0.2927923920604258
2,1,C4,C1,-0.2167877438521578
2,1,C5,C1,-0.22707352466204359
2,1,C6,C1,-0.3144916893757886
2,1,C7,C1,-0.32504000490640256
2,1,C8,C1,-0.4019916551206288
2,1,C9,C1,-0.42851839706826
2,1,Enterobacteriaceae,C1,-0.00852759836562367
2,1,Lactobacillaceae,C1,0.16820576263833
2,1,Paenibacillaceae,C1,3.6449615649900065e-16
2,1,C1,C2,-0.10158782994324439
2,1,C2,C2,-0.0441122045600569
2,1,C3,C2,-0.14896934441500975
2,1,C4,C2,-0.11031776529033073
2,1,C5,C2,-0.11553517661208672
2,1,C6,C2,-0.16003547746547683
2,1,C7,C2,-0.16538283363024842
2,1,C8,C2,-0.20454154443689007
2,1,C9,C2,-0.21803946464400684
2,1,Enterobacteriaceae,C2,-0.004341323302699218
2,1,Lactobacillaceae,C2,0.08563203444639123
2,1,Paenibacillaceae,C2,1.8501068640560091e-16
2,1,C1,C3,-0.3042271100162817
2,1,C2,C3,-0.13213027827601956
2,1,C3,C3,-0.44614283565543267
2,1,C4,C3,-0.33033562966636787
2,1,C5,C3,-0.34600436850790994
2,1,C6,C3,-0.4792140503398768
2,1,C7,C3,-0.4952818585143972
2,1,C8,C3,-0.6125388118057771
2,1,C9,C3,-0.6529593535842104
2,1,Enterobacteriaceae,C3,-0.012994629031509329
2,1,Lactobacillaceae,C3,0.25631735838527064
2,1,Paenibacillaceae,C3,5.552839847175868e-16
2,1,C1,C4,-0.1984332160977124
2,1,C2,C4,-0.0861834617716178
2,1,C3,C4,-0.2909990709538894
2,1,C4,C4,-0.21546124406386566
2,1,C5,C4,-0.22568292085645342
2,1,C6,C4,-0.3125672569599688
2,1,C7,C4,-0.32304960786037107
2,1,C8,C4,-0.39953039782201805
2,1,C9,C4,-0.4258947655182398
2,1,Enterobacteriaceae,C4,-0.008475547393691128
2,1,Lactobacillaceae,C4,0.16717906402348043
2,1,Paenibacillaceae,C4,3.622329871001476e-16
2,1,C1,C5,-0.23241230764388163
2,1,C2,C5,-0.1009349460284506
2,1,C3,C5,-0.34082378677743236
2,1,C4,C5,-0.2523645130524577
2,1,C5,C5,-0.26432606547388526
2,1,C6,C5,-0.36610155668405714
2,1,C7,C5,-0.3783660662195676
2,1,C8,C5,-0.4679461382638148
2,1,C9,C5,-0.4988255216983935
2,1,Enterobacteriaceae,C5,-0.009928397033632002
2,1,Lactobacillaceae,C5,0.19583633318735308
2,1,Paenibacillaceae,C5,4.2396908343197855e-16
2,1,C1,C6,-0.2934531434140926
2,1,C2,C6,-0.12741528177445985
